id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
cpd03495_c0	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0	C95H152N8O28P2	-4	OXJNZXDFVLDLEI-MBCYCBSHSA-J	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2N=C(C)[O-])C(OC(C)C(O)=NC(C)C(O)=NC(CCC([O-])=NC(CCCC(N)C(=O)O)C(O)=NC(C)C([O-])=NC(C)C(=O)O)C(=O)O)C1N=C(C)[O-]	-831.43	C05898	cpd03495
cpd11440_c0	fa6_c0	C16H31O2	-1			-64.07		cpd11440
cpd00018_c0	AMP_c0	C10H12N5O7P	-2	UDMBCSSLTHHNCD-KQYNXXCUSA-L	Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O	-257.85	C00020	cpd00018
cpd11441_c0	fa6coa_c0	C37H63N7O17P3S	-3			-764.96		cpd11441
cpd00023_c0	L-Glutamate_c0	C5H8NO4	-1	WHUUTDBJXJRKMK-VKHMYHEASA-M	NC(CCC(=O)[O-])C(=O)O	-164.13	C00025	cpd00023
cpd00084_c0	L-Cysteine_c0	C3H7NO2S	0	XUJNEKJLAYXESH-REOHCLBHSA-N	NC(CS)C(=O)O	-83.394	C00097	cpd00084
cpd00506_c0	gamma-Glutamylcysteine_c0	C8H13N2O5S	-1	RITKHVBHSGLULN-WHFBIAKZSA-M	NC(CCC([O-])=NC(CS)C(=O)O)C(=O)O	-190.374	C00669	cpd00506
cpd00308_c0	Malonate_c0	C3H2O4	-2	OFOBLEOULBTSOW-UHFFFAOYSA-L	O=C([O-])CC(=O)[O-]	-164.58	C00383	cpd00308
cpd11494_c0	Acetyl-ACP_c0	C13H24N2O8PRS	-2				C03939	cpd11494
cpd00029_c0	Acetate_c0	C2H3O2	-1	QTBSBXVTEAMEQO-UHFFFAOYSA-M	CC(=O)[O-]	-88.29	C00033	cpd00029
cpd11492_c0	Malonyl-acyl-carrierprotein-_c0	C14H24N2O10PRS	-2				C01209	cpd11492
cpd00015_c0	FAD_c0	C27H30N9O15P2	-3	IMGVNJNCCGXBHD-UYBVJOGSSA-K	Cc1cc2nc3c([O-])nc(=O)nc-3n(CC(O)C(O)C(O)COP(=O)([O-])OP(=O)([O-])OCC3OC([n+]4c[nH]c5c(N)ncnc54)C(O)C3O)c2cc1C	-515.07	C00016	cpd00015
cpd00130_c0	L-Malate_c0	C4H4O5	-2	BJEPYKJPYRNKOW-REOHCLBHSA-L	O=C([O-])CC(O)C(=O)[O-]	-201	C00149	cpd00130
cpd00032_c0	Oxaloacetate_c0	C4H2O5	-2	KHPXUQMNIQBQEV-UHFFFAOYSA-L	O=C([O-])CC(=O)C(=O)[O-]	-190.52	C00036	cpd00032
cpd00982_c0	FADH2_c0	C27H33N9O15P2	-2	YPZRHBJKEMOYQH-UYBVJOGSSA-L	Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1nc([O-])nc([O-])c1N2	-538.18	C01352	cpd00982
cpd00533_c0	dCDP_c0	C9H13N3O10P2	-2	FTDHDKPUHBLBTL-SHYZEUOFSA-L	N=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)([O-])O)O2)c([O-])n1	-513.54	C00705	cpd00533
cpd00356_c0	dCTP_c0	C9H13N3O13P3	-3	RGWHQCVHVJXOKC-SHYZEUOFSA-K	N=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)([O-])[O-])O2)c([O-])n1	-721.54	C00458	cpd00356
cpd00213_c0	Lipoamide_c0	C8H15NOS2	0	FCCDDURTIIUXBY-SSDOTTSWSA-N	N=C(O)CCCCC1CCSS1	-21.54	C00248	cpd00213
cpd03049_c0	2-Hydroxyethyl-ThPP_c0	C14H21N4O8P2S	-1	RRUVJGASJONMDY-UHFFFAOYSA-M	Cc1ncc(C[n+]2c(C(C)O)sc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(=N)[nH]1	-405.15	C05125	cpd03049
cpd00056_c0	TPP_c0	C12H17N4O7P2S	-1	AYEKOFBPNLCAJY-UHFFFAOYSA-M	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(=N)[nH]1	-368.32	C00068	cpd00056
cpd00836_c0	S-Acetyldihydrolipoamide_c0	C10H19NO2S2	0	ARGXEXVCHMNAQU-UHFFFAOYSA-N	CC(=O)SC(CCS)CCCCC(=N)O	-61.184	C01136	cpd00836
cpd00006_c0	NADP_c0	C21H25N7O17P3	-3	XJLXINKUBYWONI-NNYOXOHSSA-K	N=C([O-])c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1	-742.09	C00006	cpd00006
cpd00842_c0	(S)-3-Hydroxybutyryl-CoA_c0	C25H38N7O18P3S	-4	QHHKKMYHDBRONY-BEVJUKKNSA-J	CC(O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-820.63	C01144	cpd00842
cpd00005_c0	NADPH_c0	C21H26N7O17P3	-4	ACFIXJIJDZMPPO-NNYOXOHSSA-J	N=C([O-])C1=CN(C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)C=CC1	-736.82	C00005	cpd00005
cpd00279_c0	Acetoacetyl-CoA_c0	C25H36N7O18P3S	-4	OJFDKHTZOUZBOS-CITAKDKDSA-J	CC(=O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-812.61	C00332	cpd00279
cpd00083_c0	GDP-mannose_c0	C16H23N5O16P2	-2	MVMSCBBUIHUTGJ-GDJBGNAASA-L	N=c1nc([O-])c2ncn(C3OC(COP(=O)([O-])OP(=O)(O)OC4OC(CO)C(O)C(O)C4O)C(O)C3O)c2[nH]1	-673.08	C00096	cpd00083
cpd00900_c0	GDP-4-dehydro-D-rhamnose_c0	C16H21N5O15P2	-2	PNHLMHWWFOPQLK-BKUUWRAGSA-L	CC1OC(OP(=O)(O)OP(=O)([O-])OCC2OC(n3cnc4c([O-])nc(=N)[nH]c43)C(O)C2O)C(O)C(O)C1=O	-630.29	C01222	cpd00900
cpd00179_c0	Maltose_c0	C12H22O11	0	VQHSOMBJVWLPSR-WUJBLJFYSA-N	OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO	-383.92	C00208	cpd00179
cpd00027_c0	D-Glucose_c0	C6H12O6	0	WQZGKKKJIJFFOK-DVKNGEFBSA-N	OCC1OC(O)C(O)C(O)C1O	-218.28	C00031	cpd00027
cpd00137_c0	Citrate_c0	C6H5O7	-3	KRKNYBCHXYNGOX-UHFFFAOYSA-K	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]	-280.44	C00158	cpd00137
cpd00260_c0	Isocitrate_c0	C6H5O7	-3	ODBLHEXUDAPZAU-UHFFFAOYSA-K	O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]	-279.02	C00311	cpd00260
cpd00521_c0	dTDP-4-oxo-6-deoxy-D-glucose_c0	C16H22N2O15P2	-2	PSXWNITXWWECNY-UCBTUHGZSA-L	Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)(O)OC3OC(C)C(=O)C(O)C3O)O2)c(=O)nc1[O-]	-680.33	C11907	cpd00521
cpd00522_c0	dTDP-4-oxo-L-rhamnose_c0	C16H22N2O15P2	-2	PSXWNITXWWECNY-LPVGZGSHSA-L	Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)(O)OC3OC(C)C(=O)C(O)C3O)O2)c(=O)nc1[O-]	-680.33	C00688	cpd00522
cpd07923_c0	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate_c0	C10H15N3O11P2	-2	RQKDPSTWKKMBPM-UHFFFAOYSA-L	N=c1nc([O-])n(C2CC(O)C(COP(=O)(O)OP(=O)([O-])O)O2)cc1CO	-550.18	C11038	cpd07923
cpd07924_c0	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate_c0	C10H15N3O14P3	-3	DLHNIFPAUZVLLA-XLPZGREQSA-K	N=c1nc([O-])n(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)([O-])[O-])O2)cc1CO	-758.18	C11039	cpd07924
cpd00003_c0	NAD_c0	C21H26N7O14P2	-1	BAWFJGJZGIEFAR-NNYOXOHSSA-M	N=C([O-])c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	-529.59	C00003	cpd00003
cpd08739_c0	trans-2-Methyl-5-isopropylhexa-2,5-dienal_c0	C10H16O	0	KDMDLRXLBMMBSU-WEVVVXLNSA-N	C=C(CC=C(C)C=O)C(C)C	14.87	C11942	cpd08739
cpd00004_c0	NADH_c0	C21H27N7O14P2	-2	BOPGDPNILDQYTO-NNYOXOHSSA-L	N=C([O-])C1=CN(C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1	-524.32	C00004	cpd00004
cpd08740_c0	trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid_c0	C10H15O2	-1	HZNKOKJSWBRPRJ-RMKNXTFCSA-M	C=C(CC=C(C)C(=O)[O-])C(C)C	-37.83	C11943	cpd08740
cpd17042_c0	DNA replication_c0	null	0					cpd17042
cpd00888_c0	N-Methylethanolamine phosphate_c0	C3H9NO4P	-1	HZDCAHRLLXEQFY-UHFFFAOYSA-M	CNCCOP(=O)([O-])O	-248.46	C01210	cpd00888
cpd00019_c0	S-Adenosyl-homocysteine_c0	C14H20N6O5S	0	ZJUKTBDSGOFHSH-WFMPWKQPSA-N	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	-76.11	C00021	cpd00019
cpd09444_c0	Phosphodimethylethanolamine_c0	C4H11NO4P	-1	BLHVJAAEHMLMOI-UHFFFAOYSA-M	CN(C)CCOP(=O)([O-])O	-242.56	C13482	cpd09444
cpd00246_c0	Inosine_c0	C10H12N4O5	0	UGQMRVRMYYASKQ-KQYNXXCUSA-N	OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O	-101.08	C00294	cpd00246
cpd00475_c0	Ribose 1-phosphate_c0	C5H9O8P	-2	YXJDFQJKERBOBM-TXICZTDVSA-L	O=P([O-])([O-])OC1OC(CO)C(O)C1O	-394.12	C00620	cpd00475
cpd03572_c0	(S)-3-Hydroxyisobutyryl-CoA_c0	C25H38N7O18P3S	-4	WWEOGFZEFHPUAM-UQCJFRAESA-J	CC(CO)C(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-820.63	C06000	cpd03572
cpd00876_c0	3-Hydroxyisobutyrate_c0	C4H7O3	-1	DBXBTMSZEOQQDU-VKHMYHEASA-M	CC(CO)C(=O)[O-]	-121.55	C01188	cpd00876
cpd15688_c0	CDP-1,2-diisohexadecanoylglycerol_c0	C44H79N3O15P2	-2			-641.22		cpd15688
cpd15694_c0	Diisohexadecanoylphosphatidylserine_c0	C38H72NO10P	-2			-425.5		cpd15694
cpd11589_c0	gly-asp-L_c0	C6H9N2O5	-1	SCCPDJAQCXWPTF-VKHMYHEASA-M	NCC([O-])=NC(CC(=O)O)C(=O)O	-196.33		cpd11589
cpd00033_c0	Glycine_c0	C2H5NO2	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N	NCC(=O)O	-87.73	C00037	cpd00033
cpd00041_c0	L-Aspartate_c0	C4H6NO4	-1	CKLJMWTZIZZHCS-REOHCLBHSA-M	NC(CC(=O)[O-])C(=O)O	-165.75	C00049	cpd00041
cpd02519_c0	Guanidinoethyl methyl phosphate_c0	C4H12N3O4P	0	PTALSLHNZQRENZ-UHFFFAOYSA-N	COP(=O)(O)OCCNC(=N)N	-228.77	C04071	cpd02519
cpd02744_c0	N'-Phosphoguanidinoethyl methyl phosphate_c0	C4H11N3O7P2	-2	SKVVAASQKFJYKN-UHFFFAOYSA-L	COP(=O)(O)OCCNC(=N)NP(=O)([O-])[O-]	-425.31	C04503	cpd02744
cpd00038_c0	GTP_c0	C10H13N5O14P3	-3	XKMLYUALXHKNFT-UUOKFMHZSA-K	N=c1nc([O-])c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)([O-])[O-])C(O)C3O)c2[nH]1	-724.3	C00044	cpd00038
cpd00048_c0	Sulfate_c0	O4S	-2	QAOWNCQODCNURD-UHFFFAOYSA-L	O=S(=O)([O-])[O-]	-177.97	C00059	cpd00048
cpd00031_c0	GDP_c0	C10H13N5O11P2	-2	QGWNDRXFNXRZMB-UUOKFMHZSA-L	N=c1nc([O-])c2ncn(C3OC(COP(=O)(O)OP(=O)([O-])O)C(O)C3O)c2[nH]1	-516.3	C00035	cpd00031
cpd00193_c0	APS_c0	C10H12N5O10PS	-2	IRLPACMLTUPBCL-KQYNXXCUSA-L	Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OS(=O)(=O)[O-])C(O)C1O	-367.85	C00224	cpd00193
cpd00206_c0	dCMP_c0	C9H12N3O7P	-2	NCMVOABPESMRCP-SHYZEUOFSA-L	N=c1ccn(C2CC(O)C(COP(=O)([O-])O)O2)c([O-])n1	-305.54	C00239	cpd00206
cpd00020_c0	Pyruvate_c0	C3H3O3	-1	LCTONWCANYUPML-UHFFFAOYSA-M	CC(=O)C(=O)[O-]	-112.69	C00022	cpd00020
cpd00070_c0	Malonyl-CoA_c0	C24H33N7O19P3S	-5	LTYOQGRJFJAKNA-DVVLENMVSA-I	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C([O-])=NCCC([O-])=NCCSC(=O)CC(=O)[O-]	-863.66	C00083	cpd00070
cpd02295_c0	1-4-Dihydroxy-2-naphthoate_c0	C11H7O4	-1	VOJUXHHACRXLTD-UHFFFAOYSA-M	O=C(O)c1cc([O-])c2ccccc2c1O	-122.199	C03657	cpd02295
cpd02557_c0	Farnesylfarnesylgeraniol_c0	C40H66O7P2	-2	BZORESSIXXHLNB-DJMILUHSSA-N	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCO	177.95	C04146	cpd02557
cpd00011_c0	CO2_c0	CO2	0	CURLTUGMZLYLDI-UHFFFAOYSA-N	O=C=O	-92.26	C00011	cpd00011
cpd15353_c0	2-Demethylmenaquinol 8_c0	C50H72O2	0	RGINGPZIMPREDO-AENDIINCSA-N	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=CC(O)c2ccccc2C1O	199.55		cpd15353
cpd02097_c0	L-Glutamyl 5-phosphate_c0	C5H8NO7P	-2	PJRXVIJAERNUIP-VKHMYHEASA-L	NC(CCC(=O)OP(=O)([O-])O)C(=O)[O-]	-379.03	C03287	cpd02097
cpd02168_c0	Prephytoene diphosphate_c0	C40H66O7P2	-2	RVCNKTPCHZNAAO-XGYYIUAYSA-L	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CC1C(COP(=O)(O)OP(=O)([O-])[O-])C1(C)CCC=C(C)CCC=C(C)CCC=C(C)C	-246.69	C03427	cpd02168
cpd03211_c0	15-cis-Phytoene_c0	C40H64	0	YVLPJIGOMTXXLP-BHLJUDRVSA-N	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CC=CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C	230.58	C05421	cpd03211
cpd00201_c0	10-Formyltetrahydrofolate_c0	C20H21N7O7	-2	AUFGTPPARQZWDO-YUZLPWPTSA-L	N=c1nc([O-])c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)O)cc1)N2	-144.77	C00234	cpd00201
cpd03524_c0	10-Formyl-THF-L-glutamate_c0	C25H27N8O10	-3	BHBZPCBOCZGPTF-KBMXLJTQSA-K	N=c1nc([O-])c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC([O-])=NC(CCC(=O)[O-])C(=O)O)C(=O)O)cc1)N2	-251.75	C05928	cpd03524
cpd00093_c0	Anthranilate_c0	C7H6NO2	-1	RWZYAGGXGHYGMB-UHFFFAOYSA-M	Nc1ccccc1C(=O)[O-]	-48.99	C00108	cpd00093
cpd02014_c0	N-Malonylanthranilate_c0	C10H7NO5	-2	ZDSSCYCDBASEJQ-UHFFFAOYSA-L	O=C([O-])CC([O-])=Nc1ccccc1C(=O)O	-164.71	C03147	cpd02014
cpd00199_c0	4-Oxobutanoate_c0	C4H5O3	-1	UIUJIQZEACWQSV-UHFFFAOYSA-M	O=CCCC(=O)[O-]	-110.26	C00232	cpd00199
cpd00036_c0	Succinate_c0	C4H4O4	-2	KDYFGRWQOYBRFD-UHFFFAOYSA-L	O=C([O-])CCC(=O)[O-]	-162.96	C00042	cpd00036
cpd15317_c0	1-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl_c0	C21H42NO7P	0			-304.1		cpd15317
cpd00908_c0	Glycerophosphoethanolamine_c0	C5H14NO6P	0	JZNWSCPGTDBMEW-UHFFFAOYSA-N	NCCOP(=O)(O)OCC(O)CO	-311.69	C01233	cpd00908
cpd15237_c0	hexadecenoate_c0	C16H29O2	-1			-41.71		cpd15237
cpd12606_c0	Plasmenylethanolamine_c0	C8H13NO7PR2	-1				C04756	cpd12606
cpd00285_c0	Phosphoethanolamine_c0	C2H7NO4P	-1	SUHOOTKUPISOBE-UHFFFAOYSA-M	NCCOP(=O)([O-])O	-257.01	C00346	cpd00285
cpd12322_c0	1-Alkenyl-2-acylglycerol_c0	C6H8O4R2	0				C03454	cpd12322
cpd00311_c0	Guanosine_c0	C10H13N5O5	0	NYHBQMYGNKIUIF-UUOKFMHZSA-N	N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1	-95.8	C00387	cpd00311
cpd00013_c0	NH3_c0	H4N	1	QGZKDVFQNNGYKY-UHFFFAOYSA-O	[NH4+]	-18.97	C00014	cpd00013
cpd01217_c0	Xanthosine_c0	C10H12N4O6	0	UBORTCNDUKBEOP-UUOKFMHZSA-N	OCC1OC(n2cnc3c(O)nc(O)nc32)C(O)C1O	-151.93	C01762	cpd01217
cpd00024_c0	2-Oxoglutarate_c0	C5H4O5	-2	KPGXRSRHYNQIFN-UHFFFAOYSA-L	O=C([O-])CCC(=O)C(=O)[O-]	-188.9	C00026	cpd00024
cpd00807_c0	L-histidinol-phosphate_c0	C6H11N3O4P	-1	CWNDERHTHMWBSI-YFKPBYRVSA-M	NC(COP(=O)([O-])O)Cc1cnc[nH]1	-214.91	C01100	cpd00807
cpd00930_c0	imidazole acetol-phosphate_c0	C6H7N2O5P	-2	YCFFMSOLUMRAMD-UHFFFAOYSA-L	O=C(COP(=O)([O-])[O-])Cc1cnc[nH]1	-242.14	C01267	cpd00930
cpd11727_c0	N-Acyl-D-mannosamine 6-phosphate_c0	C7H12NO9PR	-1				C00686	cpd11727
cpd12473_c0	N-Acyl-D-glucosamine 6-phosphate_c0	C7H12NO9PR	-1				C04136	cpd12473
cpd11999_c0	Deoxylimonate_c0	C26H31O8	-1	NLNLACOJSWLNHE-UHFFFAOYSA-M	CC1=C2CC(=O)OC(c3ccoc3)C2(C)CCC1C12COC(=O)CC1OC(C)(C)C2CC(=O)[O-]	-215.34	C02027	cpd11999
cpd12503_c0	Deoxylimononic acid D-ring-lactone_c0	C26H32O9	-2	BQKCYOXFBVKBDA-UHFFFAOYSA-L	CC1=C2CC(=O)OC(c3ccoc3)C2(C)CCC1C1(CO)C(CC(=O)[O-])OC(C)(C)C1CC(=O)[O-]	-258.76	C04251	cpd12503
cpd00118_c0	Putrescine_c0	C4H14N2	2	KIDHWZJUCRJVML-UHFFFAOYSA-P	[NH3+]CCCC[NH3+]	-6.02	C00134	cpd00118
cpd00264_c0	Spermidine_c0	C7H22N3	3	ATHGHQPFGPMSJY-UHFFFAOYSA-Q	[NH3+]CCCC[NH2+]CCC[NH3+]	4.79	C00315	cpd00264
cpd00726_c0	1,3-Propanediamine_c0	C3H12N2	2	XFNJVJPLKCPIBV-UHFFFAOYSA-P	[NH3+]CCC[NH3+]	-7.64	C00986	cpd00726
